,SOURCE,INSTRMT,PROF_NO,i_offset,temp,salt,p
1,ITP,8,1301,29,-1.064117391803445,34.011077907459914,222.59480615995952
2,ITP,8,1301,29,-1.0389869272684427,34.03251974287654,224.0948061599593
3,ITP,8,1301,29,-1.0225593772904442,34.049097240299794,225.59480615995906
4,ITP,8,1301,29,-1.0010224650424433,34.067902835923086,227.09480615995884
5,ITP,8,1301,29,-0.9533939393048201,34.10213208583854,228.5948061599586
0,ITP,1,1259,30,-0.4711232667946641,34.36993026775917,221.28275850251467
1,ITP,1,1259,30,-0.43809791197261505,34.3765448658369,222.78275850251444
2,ITP,1,1259,30,-0.4265820698226996,34.3829049283466,224.2827585025142
3,ITP,1,1259,30,-0.39049820457466455,34.39738150619747,225.78275850251399
4,ITP,1,1259,30,-0.3882744867429424,34.39787720995539,227.28275850251376
5,ITP,1,1259,30,-0.3549392280866501,34.41112652586719,228.78275850251353
0,ITP,8,1301,30,-1.0919135334054932,33.98896083498017,221.13230615995974
1,ITP,8,1301,30,-1.0637058031487747,34.01146711768897,222.6323061599595
2,ITP,8,1301,30,-1.0385986649373176,34.0328812731063,224.13230615995928
3,ITP,8,1301,30,-1.0220354151199025,34.04924491199914,225.63230615995906
4,ITP,8,1301,30,-0.9999575659993446,34.068888273783294,227.13230615995883
5,ITP,8,1301,30,-0.9518515605405548,34.10306991553047,228.6323061599586
0,ITP,1,1259,31,-0.47094221548548465,34.36993945458174,221.32025850251466
1,ITP,1,1259,31,-0.4360066622837317,34.3782131203924,222.82025850251443
2,ITP,1,1259,31,-0.42649912907040766,34.38298826124374,224.3202585025142
3,ITP,1,1259,31,-0.3904625598859961,34.397377894511294,225.82025850251398
4,ITP,1,1259,31,-0.3881358211278241,34.39783630482181,227.32025850251375
5,ITP,1,1259,31,-0.3546619630129643,34.41125391226799,228.82025850251352
0,ITP,8,1301,31,-1.09084828467725,33.99016931103177,221.16980615995973
1,ITP,8,1301,31,-1.0631613320222504,34.011823624869315,222.6698061599595
2,ITP,8,1301,31,-1.0382104026061922,34.03324280333606,224.16980615995928
3,ITP,8,1301,31,-1.0214367018365103,34.04974073495042,225.66980615995905
4,ITP,8,1301,31,-0.9986291073568115,34.06982496743599,227.16980615995882
5,ITP,8,1301,31,-0.9504572617757174,34.10380770004479,228.6698061599586
0,ITP,1,1259,32,-0.47076116417630526,34.36994864140431,221.35775850251466
1,ITP,1,1259,32,-0.4339154125948483,34.37988137494791,222.85775850251443
2,ITP,1,1259,32,-0.4264161883181157,34.38307159414088,224.3577585025142
3,ITP,1,1259,32,-0.39042691519732764,34.39737428282512,225.85775850251397
4,ITP,1,1259,32,-0.3879971555127058,34.39779539968823,227.35775850251375
5,ITP,1,1259,32,-0.35438469793927846,34.411381298668786,228.85775850251352
0,ITP,8,1301,32,-1.0903383359866443,33.991003337174504,221.20730615995973
